,Label,clean_motivation
74,0,invention automatic regulators use conjunction gas accumulators illuminating lighthouses buoys
75,4,bringing better understanding countries North South America initiating important arbitration agreements United States countries
76,2,recognition work anaphylaxis
77,1,recognition work linkage atoms molecules thrown new light earlier investigations opened new fields research especially inorganic chemistry
78,4,unparalleled contribution organization peaceful internationalism
79,3,profoundly sensitive fresh beautiful verse consummate skill made poetic thought expressed English words part literature West
80,0,investigations properties matter low temperatures led inter alia production liquid helium
81,0,discovery diffraction Xrays crystals
82,2,work physiology pathology vestibular apparatus
83,1,recognition accurate determinations atomic weight large number chemical elements
84,0,services analysis crystal structure means Xrays
85,0,services analysis crystal structure means Xrays
86,1,researches plant pigments especially chlorophyll
87,3,tribute lofty idealism literary production sympathy love truth described different types human beings
88,3,recognition significance leading representative new era literature
89,4,efforts take care wounded soldiers prisoners war families
90,4,great work performed war behalf humanity
91,4,promoting principles Geneva Convention cooperation UN
92,0,discovery characteristic Roumlntgen radiation elements
93,3,varied rich poetry inspired lofty ideals
94,3,authentic descriptions presentday life Denmark
95,0,recognition services rendered advancement Physics discovery energy quanta
96,1,synthesis ammonia elements
97,4,role founder League Nations
98,2,discoveries relating immunity
99,0,discovery Doppler effect canal rays splitting spectral lines electric fields
100,3,special appreciation epic IOlympian SpringI
101,0,recognition service rendered precision measurements Physics discovery anomalies nickel steel alloys
102,1,recognition work thermochemistry
103,2,discovery capillary motor regulating mechanism
104,4,longstanding contribution cause peace justice prominent role establishment League Nations
105,3,monumental work IGrowth SoilI
106,3,recognition brilliant literary achievements characterized nobility style profound human sympathy grace true Gallic temperament
107,4,lifelong contributions cause peace organized internationalism
108,0,services Theoretical Physics especially discovery law photoelectric effect
109,1,contributions knowledge chemistry radioactive substances investigations origin nature isotopes
110,4,lifelong contributions cause peace organized internationalism
111,0,services investigation structure atoms radiation emanating
112,4,leading role repatriation prisoners war international relief work League Nations High Commissioner refugees
113,1,discovery means mass spectrograph isotopes large number nonradioactive elements enunciation wholenumber rule
114,2,discovery fixed relationship consumption oxygen metabolism lactic acid muscle
115,3,happy manner continued illustrious traditions Spanish drama
116,2,discovery relating production heat muscle
117,2,discovery insulin
118,2,discovery insulin
119,0,work elementary charge electricity photoelectric effect
120,1,invention method microanalysis organic substances
121,3,always inspired poetry highly artistic form gives expression spirit whole nation
122,3,great national epic IThe PeasantsI
123,2,discovery mechanism electrocardiogram
124,0,discoveries research field Xray spectroscopy
125,0,discovery laws governing impact electron upon atom
126,0,discovery laws governing impact electron upon atom
127,4,crucial role bringing Locarno Treaty
128,4,crucial role bringing Dawes Plan
129,1,demonstration heterogenous nature colloid solutions methods used since become fundamental modern colloid chemistry
130,3,work marked idealism humanity stimulating satire often infused singular poetic beauty
131,4,crucial role bringing Locarno Treaty
132,4,crucial role bringing Locarno Treaty
133,3,idealistically inspired writings plastic clarity picture life native island depth sympathy deal human problems general
134,2,discovery Spiroptera carcinoma
135,0,work discontinuous structure matter especially discovery sedimentation equilibrium
136,1,work disperse systems
137,3,recognition rich vitalizing ideas brilliant skill presented
138,4,contribution emergence France Germany public opinion favours peaceful international cooperation
139,0,discovery effect named
140,0,method making paths electrically charged particles visible condensation vapour
141,2,discovery therapeutic value malaria inoculation treatment dementia paralytica
142,1,investigations constitution bile acids related substances
143,4,contribution emergence France Germany public opinion favours peaceful international cooperation
144,2,work typhus
145,1,services rendered research constitution sterols connection vitamins
146,0,work thermionic phenomenon especially discovery law named
147,3,principally powerful descriptions Northern life Middle Ages
148,1,investigations fermentation sugar fermentative enzymes
149,1,investigations fermentation sugar fermentative enzymes
150,2,discovery antineuritic vitamin
151,0,discovery wave nature electrons
152,3,principally great novel IBuddenbrooksI steadily increased recognition one classic works contemporary literature
153,2,discovery growthstimulating vitamins
154,4,crucial role bringing BriandKellogg Pact
155,3,vigorous graphic art description ability create wit humour new types characters
156,2,discovery human blood groups
157,1,researches constitution haemin chlorophyll especially synthesis haemin
158,4,promoting Christian unity helping create new attitude mind necessary peace nations become reality
159,0,work scattering light discovery effect named
160,2,discovery nature mode action respiratory enzyme
161,1,recognition contributions invention development chemical high pressure methods
162,1,recognition contributions invention development chemical high pressure methods
163,3,poetry Erik Axel Karlfeldt
164,4,assiduous effort revive ideal peace rekindle spirit peace nation whole mankind
165,4,assiduous effort revive ideal peace rekindle spirit peace nation whole mankind
166,2,discoveries regarding functions neurons
167,2,discoveries regarding functions neurons
168,0,creation quantum mechanics application inter alia led discovery allotropic forms hydrogen
169,3,distinguished art narration takes highest form IThe Forsyte SagaI
170,1,discoveries investigations surface chemistry
171,0,discovery new productive forms atomic theory
172,0,discovery new productive forms atomic theory
173,4,exposed pen illusion war presented convincing plea international cooperation peace
174,2,discoveries concerning role played chromosome heredity
175,3,strict artistry carried classical Russian traditions prose writing
176,2,discoveries concerning liver therapy cases anaemia
177,1,discovery heavy hydrogen
178,3,bold ingenious revival dramatic scenic art
179,2,discoveries concerning liver therapy cases anaemia
180,2,discoveries concerning liver therapy cases anaemia
181,4,untiring struggle courageous efforts Chairman League Nations Disarmament Conference 193134
182,1,recognition synthesis new radioactive elements
183,1,recognition synthesis new radioactive elements
184,0,discovery neutron
185,2,discovery organizer effect embryonic development
186,4,burning love freedom thought expression valuable contribution cause peace
187,1,contributions knowledge molecular structure investigations dipole moments diffraction Xrays electrons gases
188,2,discoveries relating chemical transmission nerve impulses
189,0,discovery cosmic radiation
190,2,discoveries relating chemical transmission nerve impulses
191,0,discovery positron
192,4,role father Argentine Antiwar Pact 1933 also used means mediate peace Paraguay Bolivia 1935
193,3,power honesty deepfelt emotions dramatic works embody original concept tragedy
194,0,experimental discovery diffraction electrons crystals
195,2,discoveries connection biological combustion processes special reference vitamin C catalysis fumaric acid
196,1,investigations carbohydrates vitamin C
197,0,experimental discovery diffraction electrons crystals
198,4,tireless effort support League Nations disarmament peace
199,3,artistic power truth depicted human conflict well fundamental aspects contemporary life novelcycle ILes ThibaultI
200,1,investigations carotenoids flavins vitamins B2
201,0,demonstrations existence new radioactive elements produced neutron irradiation related discovery nuclear reactions brought slow neutrons
202,1,work carotenoids vitamins
203,2,discovery role played sinus aortic mechanisms regulation respiration
204,4,carried work Fridtjof Nansen benefit refugees across Europe
205,3,rich truly epic descriptions peasant life China biographical masterpieces
206,2,discovery antibacterial effects prontosil
207,0,invention development cyclotron results obtained especially regard artificial radioactive elements
208,1,work polymethylenes higher terpenes
209,1,work sex hormones
210,3,deep understanding countrys peasantry exquisite art portrayed way life relationship Nature
211,2,discovery vitamin K
212,2,discovery chemical nature vitamin K
213,1,work use isotopes tracers study chemical processes
214,0,contribution development molecular ray method discovery magnetic moment proton
215,2,discoveries relating highly differentiated functions single nerve fibres
216,3,rare strength fertility poetic imagination combined intellectual curiosity wide scope bold freshly creative style
217,2,discoveries relating highly differentiated functions single nerve fibres
218,1,discovery fission heavy nuclei
219,4,efforts take care wounded soldiers prisoners war families
220,4,great work performed war behalf humanity
221,4,promoting principles Geneva Convention cooperation UN
222,0,resonance method recording magnetic properties atomic nuclei
223,0,discovery Exclusion Principle also called Pauli Principle
224,3,lyric poetry inspired powerful emotions made name symbol idealistic aspirations entire Latin American world
225,1,research inventions agricultural nutrition chemistry especially fodder preservation method
226,4,indefatigable work international understanding pivotal role establishing United Nations
227,2,discovery penicillin curative effect various infectious diseases
228,2,discovery penicillin curative effect various infectious diseases
229,2,discovery penicillin curative effect various infectious diseases
230,4,contribution creation peacepromoting religious brotherhood across national boundaries
231,0,invention apparatus produce extremely high pressures discoveries made therewith field high pressure physics
232,1,discovery enzymes crystallized
233,1,preparation enzymes virus proteins pure form
234,1,preparation enzymes virus proteins pure form
235,2,discovery production mutations means Xray irradiation
236,4,lifelong work cause peace
237,3,inspired writings growing boldness penetration exemplify classical humanitarian ideals high qualities style
238,2,discovery course catalytic conversion glycogen
239,2,discovery part played hormone anterior pituitary lobe metabolism sugar
240,0,investigations physics upper atmosphere especially discovery socalled Appleton layer
241,3,comprehensive artistically significant writings human problems conditions presented fearless love truth keen psychological insight
242,1,investigations plant products biological importance especially alkaloids
243,4,pioneering work international peace movement compassionate effort relieve human suffering thereby promoting fraternity nations
244,4,pioneering work international peace movement compassionate effort relieve human suffering thereby promoting fraternity nations
245,2,discovery course catalytic conversion glycogen
246,2,discovery high efficiency DDT contact poison several arthropods
247,3,outstanding pioneer contribution presentday poetry
248,1,research electrophoresis adsorption analysis especially discoveries concerning complex nature serum proteins
249,0,development Wilson cloud chamber method discoveries therewith fields nuclear physics cosmic radiation
250,2,discovery therapeutic value leucotomy certain psychoses
251,1,contributions field chemical thermodynamics particularly concerning behaviour substances extremely low temperatures
252,2,discovery functional organization interbrain coordinator activities internal organs
253,3,powerful artistically unique contribution modern American novel
254,4,lifelong effort conquer hunger want thereby helping remove major cause military conflict war
255,0,prediction existence mesons basis theoretical work nuclear forces
256,3,recognition varied significant writings champions humanitarian ideals freedom thought
257,4,work mediator Palestine 19481949
258,2,discoveries relating hormones adrenal cortex structure biological effects
259,2,discoveries relating hormones adrenal cortex structure biological effects
260,2,discoveries relating hormones adrenal cortex structure biological effects
261,1,discovery development diene synthesis
262,0,development photographic method studying nuclear processes discoveries regarding mesons made method
263,1,discovery development diene synthesis
264,4,devoted life fight war promotion social justice brotherhood among men nations
265,3,artistic vigour true independence mind endeavours poetry find answers eternal questions confronting mankind
266,0,pioneer work transmutation atomic nuclei artificially accelerated atomic particles
267,0,pioneer work transmutation atomic nuclei artificially accelerated atomic particles
268,1,discoveries chemistry transuranium elements
269,2,discoveries concerning yellow fever combat
270,1,discoveries chemistry transuranium elements
271,0,development new methods nuclear magnetic precision measurements discoveries connection therewith
272,1,invention partition chromatography
273,4,altruism reverence life tireless humanitarian work helped making idea brotherhood men nations living one
274,2,discovery streptomycin first antibiotic effective tuberculosis
275,1,invention partition chromatography
276,0,development new methods nuclear magnetic precision measurements discoveries connection therewith
277,3,deep spiritual insight artistic intensity novels penetrated drama human life
278,4,proposing supervising plan economic recovery Europe
279,2,discovery citric acid cycle
280,2,discovery coenzyme importance intermediary metabolism
281,0,demonstration phase contrast method especially invention phase contrast microscope
282,1,discoveries field macromolecular chemistry
283,3,mastery historical biographical description well brilliant oratory defending exalted human values
284,2,discovery ability poliomyelitis viruses grow cultures various types tissue
285,2,discovery ability poliomyelitis viruses grow cultures various types tissue
286,2,discovery ability poliomyelitis viruses grow cultures various types tissue
287,1,research nature chemical bond application elucidation structure complex substances
288,4,fight nuclear arms race East West
289,0,fundamental research quantum mechanics especially statistical interpretation wavefunction
290,0,coincidence method discoveries made therewith
291,3,mastery art narrative recently demonstrated IThe Old Man SeaI influence exerted contemporary style
292,4,efforts heal wounds war providing help protection refugees world
293,4,promoting fundamental rights refugees
294,3,vivid epic power renewed great narrative art Iceland
295,0,precision determination magnetic moment electron
296,0,discoveries concerning fine structure hydrogen spectrum
297,2,discoveries concerning nature mode action oxidation enzymes
298,1,work biochemically important sulphur compounds especially first synthesis polypeptide hormone
299,2,discoveries concerning heart catheterization pathological changes circulatory system
300,2,discoveries concerning heart catheterization pathological changes circulatory system
301,0,researches semiconductors discovery transistor effect
302,1,researches mechanism chemical reactions
303,1,researches mechanism chemical reactions
304,0,researches semiconductors discovery transistor effect
305,0,jointly developed theory superconductivity usually called BCStheory
306,0,researches semiconductors discovery transistor effect
307,2,discoveries concerning heart catheterization pathological changes circulatory system
308,3,lyrical poetry Spanish language constitutes example high spirit artistical purity
309,0,penetrating investigation socalled parity laws led important discoveries regarding elementary particles
310,4,crucial contribution deployment United Nations Emergency Force wake Suez Crisis
311,1,work nucleotides nucleotide coenzymes
312,0,penetrating investigation socalled parity laws led important discoveries regarding elementary particles
313,3,important literary production clearsighted earnestness illuminates problems human conscience times
314,2,discoveries relating synthetic compounds inhibit action certain body substances especially action vascular system skeletal muscles
315,1,work structure proteins especially insulin
316,1,contributions concerning determination base sequences nucleic acids
317,4,efforts help refugees leave camps return life freedom dignity
318,2,discovery genes act regulating definite chemical events
319,2,discoveries concerning genetic recombination organization genetic material bacteria
320,3,important achievement contemporary lyrical poetry field great Russian epic tradition
321,0,discovery interpretation Cherenkov effect
322,0,discovery interpretation Cherenkov effect
323,0,discovery interpretation Cherenkov effect
324,2,discovery genes act regulating definite chemical events
325,2,discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid
326,1,discovery development polarographic methods analysis
327,0,discovery antiproton
328,0,discovery antiproton
329,2,discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid
330,4,longstanding contribution cause disarmament peace
331,3,lyrical poetry classical fire expresses tragic experience life times
332,2,discovery acquired immunological tolerance
333,0,invention bubble chamber
334,2,discovery acquired immunological tolerance
335,3,soaring flight evocative imagery poetry visionary fashion reflects conditions time
336,4,nonviolent struggle apartheid
337,1,method use carbon14 age determination archaeology geology geophysics branches science
338,0,researches concerning resonance absorption gamma radiation discovery connection effect bears name
339,4,developing UN effective constructive international organization capable giving life principles aims expressed UN Charter
340,2,discoveries physical mechanism stimulation within cochlea
341,3,epic force traced themes depicted human destinies drawn history country
342,1,research carbon dioxide assimilation plants
343,0,pioneering studies electron scattering atomic nuclei thereby achieved discoveries concerning structure nucleons
344,2,discoveries concerning molecular structure nucleic acids significance information transfer living material
345,2,discoveries concerning molecular structure nucleic acids significance information transfer living material
346,2,discoveries concerning molecular structure nucleic acids significance information transfer living material
347,1,research nature chemical bond application elucidation structure complex substances
348,4,fight nuclear arms race East West
349,1,studies structures globular proteins
350,1,studies structures globular proteins
351,0,pioneering theories condensed matter especially liquid helium
352,3,realistic imaginative writings combining sympathetic humour keen social perception
353,2,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
354,2,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
355,2,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
356,0,discoveries concerning nuclear shell structure
357,0,contributions theory atomic nucleus elementary particles particularly discovery application fundamental symmetry principles
358,4,efforts take care wounded soldiers prisoners war families
359,4,great work performed war behalf humanity
360,4,promoting principles Geneva Convention cooperation UN
361,4,promoting principles Geneva Convention cooperation UN
362,3,eminent lyrical writing inspired deep feeling Hellenic world culture
363,0,discoveries concerning nuclear shell structure
364,1,discoveries field chemistry technology high polymers
365,1,discoveries field chemistry technology high polymers
366,0,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
367,3,work rich ideas filled spirit freedom quest truth exerted farreaching influence age
368,4,nonviolent struggle civil rights AfroAmerican population
369,0,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
370,2,discoveries concerning mechanism regulation cholesterol fatty acid metabolism
371,0,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
372,2,discoveries concerning mechanism regulation cholesterol fatty acid metabolism
373,1,determinations Xray techniques structures important biochemical substances
374,1,outstanding achievements art organic synthesis
375,2,discoveries concerning genetic control enzyme virus synthesis
376,2,discoveries concerning genetic control enzyme virus synthesis
377,2,discoveries concerning genetic control enzyme virus synthesis
378,4,effort enhance solidarity nations reduce difference rich poor states
379,0,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
380,3,artistic power integrity epic given expression historic phase life Russian people
381,0,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
382,0,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
383,2,discoveries concerning hormonal treatment prostatic cancer
384,3,profoundly characteristic narrative art motifs life Jewish people
385,1,fundamental work concerning chemical bonds electronic structure molecules molecular orbital method
386,2,discovery tumourinducing viruses
387,3,outstanding lyrical dramatic writing interprets Israels destiny touching strength
388,0,discovery development optical methods studying Hertzian resonances atoms
389,2,discoveries concerning primary physiological chemical visual processes eye
390,2,discoveries concerning primary physiological chemical visual processes eye
391,1,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
392,3,vivid literary achievement deeprooted national traits traditions Indian peoples Latin America
393,1,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
394,1,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
395,2,discoveries concerning primary physiological chemical visual processes eye
396,0,contributions theory nuclear reactions especially discoveries concerning energy production stars
397,2,interpretation genetic code function protein synthesis
398,2,interpretation genetic code function protein synthesis
399,1,discovery reciprocal relations bearing name fundamental thermodynamics irreversible processes
400,4,struggle ensure rights man stipulated UN Declaration
401,2,interpretation genetic code function protein synthesis
402,0,decisive contributions elementary particle physics particular discovery large number resonance states made possible development technique using hydrogen bubble chamber data analysis
403,3,narrative mastery great sensibility expresses essence Japanese mind
404,1,contributions development concept conformation application chemistry
405,3,writing new forms novel drama destitution modern man acquires elevation
406,5,developed applied dynamic models analysis economic processes
407,0,contributions discoveries concerning classification elementary particles interactions
408,5,developed applied dynamic models analysis economic processes
409,4,creating international legislation insuring certain norms working conditions every country
410,2,discoveries concerning replication mechanism genetic structure viruses
411,2,discoveries concerning replication mechanism genetic structure viruses
412,2,discoveries concerning replication mechanism genetic structure viruses
413,1,contributions development concept conformation application chemistry
414,0,fundamental work discoveries magnetohydrodynamics fruitful applications different parts plasma physics
415,0,fundamental work discoveries concerning antiferromagnetism ferrimagnetism led important applications solid state physics
416,4,given wellfounded hope green revolution
417,1,discovery sugar nucleotides role biosynthesis carbohydrates
418,3,ethical force pursued indispensable traditions Russian literature
419,5,scientific work developed static dynamic economic theory actively contributed raising level analysis economic science
420,2,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
421,2,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
422,2,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
423,4,paving way meaningful dialogue East West
424,0,invention development holographic method
425,5,empirically founded interpretation economic growth led new deepened insight economic social structure process development
426,1,contributions knowledge electronic structure geometry molecules particularly free radicals
427,2,discoveries concerning mechanisms action hormones
428,3,poetry action elemental force brings alive continents destiny dreams
429,3,writing combination broad perspective time sensitive skill characterization contributed renewal German literature
430,2,discoveries concerning chemical structure antibodies
431,0,jointly developed theory superconductivity usually called BCStheory
432,1,contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule
433,1,work ribonuclease especially concerning connection amino acid sequence biologically active conformation
434,1,contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule
435,0,researches semiconductors discovery transistor effect
436,0,jointly developed theory superconductivity usually called BCStheory
437,5,pioneering contributions general economic equilibrium theory welfare theory
438,5,pioneering contributions general economic equilibrium theory welfare theory
439,0,jointly developed theory superconductivity usually called BCStheory
440,2,discoveries concerning chemical structure antibodies
441,0,theoretical predictions properties supercurrent tunnel barrier particular phenomena generally known Josephson effects
442,1,pioneering work performed independently chemistry organometallic called sandwich compounds
443,1,pioneering work performed independently chemistry organometallic called sandwich compounds
444,4,jointly negotiated cease fire Vietnam 1973
445,5,development inputoutput method application important economic problems
446,2,discoveries concerning organization elicitation individual social behaviour patterns
447,0,experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively
448,0,experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively
449,2,discoveries concerning organization elicitation individual social behaviour patterns
450,3,epic psychological narrative art introduced new continent literature
451,4,jointly negotiated cease fire Vietnam 1973
452,2,discoveries concerning organization elicitation individual social behaviour patterns
453,1,fundamental achievements theoretical experimental physical chemistry macromolecules
454,3,narrative art farseeing lands ages service freedom
455,5,pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena
456,3,writings catch dewdrop reflect cosmos
457,2,discoveries concerning structural functional organization cell
458,0,pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars
459,0,pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars
460,2,discoveries concerning structural functional organization cell
461,4,contribution stabilize conditions Pacific rim area signing Nuclear NonProliferation Treaty
462,4,efforts secure develop human rights throughout world
463,5,pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena
464,2,discoveries concerning structural functional organization cell
465,1,work stereochemistry enzymecatalyzed reactions
466,1,research stereochemistry organic molecules reactions
467,2,discoveries concerning interaction tumour viruses genetic material cell
468,0,discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection
469,0,discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection
470,0,discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection
471,5,contributions theory optimum allocation resources
472,5,contributions theory optimum allocation resources
473,3,distinctive poetry great artistic sensitivity interpreted human values sign outlook life illusions
474,2,discoveries concerning interaction tumour viruses genetic material cell
475,2,discoveries concerning interaction tumour viruses genetic material cell
476,4,struggle human rights Soviet Union disarmament cooperation nations
477,5,achievements fields consumption analysis monetary history theory demonstration complexity stabilization policy
478,1,studies structure boranes illuminating problems chemical bonding
479,4,courageous efforts founding movement put end violent conflict Northern Ireland
480,0,pioneering work discovery heavy elementary particle new kind
481,0,pioneering work discovery heavy elementary particle new kind
482,2,discoveries concerning new mechanisms origin dissemination infectious diseases
483,2,discoveries concerning new mechanisms origin dissemination infectious diseases
484,4,courageous efforts founding movement put end violent conflict Northern Ireland
485,3,human understanding subtle analysis contemporary culture combined work
486,0,fundamental theoretical investigations electronic structure magnetic disordered systems
487,5,pathbreaking contribution theory international trade international capital movements
488,5,pathbreaking contribution theory international trade international capital movements
489,0,fundamental theoretical investigations electronic structure magnetic disordered systems
490,0,fundamental theoretical investigations electronic structure magnetic disordered systems
491,2,discoveries concerning peptide hormone production brain
492,2,development radioimmunoassays peptide hormones
493,1,contributions nonequilibrium thermodynamics particularly theory dissipative structures
494,2,discoveries concerning peptide hormone production brain
495,4,worldwide respect human rights
496,3,creative poetic writing illuminates mans condition cosmos presentday society time representing great renewal traditions Spanish poetry wars
497,4,jointly negotiated peace Egypt Israel 1978
498,4,jointly negotiated peace Egypt Israel 1978
499,0,discovery cosmic microwave background radiation
500,2,discovery restriction enzymes application problems molecular genetics
501,2,discovery restriction enzymes application problems molecular genetics
502,2,discovery restriction enzymes application problems molecular genetics
503,0,discovery cosmic microwave background radiation
504,3,impassioned narrative art roots PolishJewish cultural tradition brings universal human conditions life
505,5,pioneering research decisionmaking process within economic organizations
506,0,basic inventions discoveries area lowtemperature physics
507,1,contribution understanding biological energy transfer formulation chemiosmotic theory
508,1,development use boron phosphoruscontaining compounds respectively important reagents organic synthesis
509,5,pioneering research economic development research particular consideration problems developing countries
510,5,pioneering research economic development research particular consideration problems developing countries
511,4,work bringing help suffering humanity
512,1,development use boron phosphoruscontaining compounds respectively important reagents organic synthesis
513,0,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
514,0,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
515,2,development computer assisted tomography
516,2,development computer assisted tomography
517,3,poetry background Greek tradition depicts sensuous strength intellectual clearsightedness modern mans struggle freedom creativeness
518,0,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
519,1,work structure proteins especially insulin
520,1,contributions concerning determination base sequences nucleic acids
521,2,discoveries concerning genetically determined structures cell surface regulate immunological reactions
522,2,discoveries concerning genetically determined structures cell surface regulate immunological reactions
523,5,creation econometric models application analysis economic fluctuations economic policies
524,1,fundamental studies biochemistry nucleic acids particular regard recombinantDNA
525,4,source inspiration repressed people especially Latin America
